file,participant,condition,conflict_text,p_right,t_right,perceived_pt,age,gender,race,race_other
1c,112,control,"I once had a conflict with a man at the grocery store he was on call and then hiit me from side, I approached him and told him what he did was wrong but he reacted nonchalantly so i had to force him to apologize and then he refuse I tried forcing him to see he was wrong but he was adamant and then i left him to himself self",6,2,3,32,male,Black or African American,
1c,113,control,"Back then in high school, l had a serious dissagrement with my head coach because of the choices of players he choose to use in some intense match. As the captain of the team, it was only right for me to get upset and encourage our team mates to do better next time, especially when we've lost a mach. On this particular day, I had pleaded with my coach to help strengthen our attack and midfield becuse we were into the finals or a major tournament. Because he wanted to please himself and his family, he always made sure our best players were on reserve while his sons get to be on the first team. Apparently, we lost the fourth final in a row because of the his selfish choices, i got really upset and got into a heated argument with him.",6,2,4,34,male,White,
1c,114,control,"My former roommate Sal once took my last can of diet Dr. Pepper and i responded by punched him in the face repeatedly, growing up in an Italian-American household I was taught at a very young age the art of """"sending someone a message that they wont soon forget"""" when you feel disrespected. The only regret I have are that for some reason he totally overacted and moved moved leaving me unable to afford the recent, it was a bummer, I really liked that place.",6,2,1,27,male,White,
1c,115,control,"This conflict was a funny one between me and a fellow co-worker. While reading  a  news during break time, he came by and heard me murmuring """"Conservatives are frauds"""" .He became so unhappy and upset with me and it showed vividly. He asked me to prove it to him with 10 facts. I told him i wasn't in the mood. But yet we argued on principle differences between these two parties",5,4,6,30,male,White,
1c,116,control,"1. I had a conflict between one of my neighbors during last month and it was very horrible. It all started when I just arrived at home from work and I was about entering my home when I percieved an horrible smell from my neighbors apartment.  I went there to talk to them but they just ignored me, I was very angry and told them the danger they are putting themselves if the dustbin isn't thrown away. They replied back at me with some nasty words. We started qurreling for some time and some few others came and we're supporting me telling them to go and throw it away. They started to consider if they were wrong which Everyone knows he was at fault. He began to think of the effect of the dustbin isn't thrown away, he stood for some time and he started to apologize to each and everyone.",6,1,5,36,male,Black or African American,
1c,117,control,"An old friend of mine and I simply never got along. They thought that I was a bad friend. I didnâ€™t hang out with them much, and even though we talked almost every day, they felt like I didnâ€™t care about them. We argued regularly about it and every conversation turned into an argument. I started avoiding them, and ignoring some texts and calls. This eventually leaked into our friend group, and they started being rude to everyone in it. Nasty comments became the norm just about the most minute things, and everyone grew to resent her. But I think it started with me and branched out to the group. She always felt left out.",2,2,5,22,male,White,
1c,118,control,"One time a friend and I bought a hotel room for the night just to chill. We were watching movies and talking about life. No big deal. Things started getting weird and confrentaional. I tried to mitagate the situation but a fight was on the way. He swung first, glancing my head. I shot back with a double whammy to the face and we both called it quits. Probably drunk and dumb. You live and learn. Blah blah blah. blah blah. blah blah blah.",1,1,4,29,male,White,
1c,119,control,"There was this time around last year. We were planning to get a family car so it will be easy for the family during camping and all that. So, we already had a resolution to get overdraft the joint account and buy the car. Then an issue came up with my own car. The issue was proving reoccurring issue so i was advised to let go if the car and get another one. And my place of work is very far and its not that easy boarding the public transport to work. So i resolve to overriding the decision to get a car first for myself. Jane was so mad and it leads to a big issue where she was even threatening me not to buy it. Well, at last i was able to convince her but it was not very easy doing that.",3,6,5,37,male,Black or African American,
1c,120,control,"Got into it with a co worker, even though we're in the same department, neither of us are bosses. We need to work together to get the same goals attained. However, my co worker consistently looks for the easy way out of doing things. This is not helpful in a co working relationship. We still have conflict to this day due to him not pulling his weight,",5,4,2,48,male,Prefer not to say,
1c,121,control,"I had a conflict with a friend of mine over who should have bought a house or not. One day, my friend and I met with an estate management agency to talk about the price range of some houses I sent to the agency online. After the meeting, the agency agreed to collect a certain amount of money for a particular house. My friend reached out to the agency afterwards and purchased the same house I was going to pay me.",5,3,5,37,male,White,
1c,122,control,I had a conflict with a friend who was owing me money. He refused to pay back even wehn i was certain he has the money to pay up his debt.,6,2,4,29,male,Black or African American,
1c,123,control,"it was about some stealing my phone, it was a good day and i actually left my phone in rest room, on going back to check it was stolen. the thief who took the phone was seen taking the phone , i walked up to him but yet he denied it, i was really mad and punched him in the face",7,1,7,36,male,White,
1c,124,control,"A customer called, and she was quite angry that she'd waited more than two weeks for a reply from our sales team regarding a product query.  I needed to address the customer's immediate concern and find out what went wrong in the normal query response process.   I apologized to the customer and took down her details, and then passed them to our head salesperson, who contacted the customer within the hour. I investigated why the inquiry hadn't been answered. I discovered that it was a combination of a wrong mobile number and an old email address that the customer was no longer checking. I let the customer know, and I input all of her new contact information, and then we offered a goodwill discount on her next order. The customer not only continued to order from us but also Tweeted about her positive experience, and wrote up a five-star Yelp review of our business",5,5,6,33,male,Black or African American,
1c,125,control,A memorable conflict i had with a person was one of my female friends. i remember she was asking me who i had a crush on. Unknowing to her she was my crush i told her i liked some other girl. She told the girl and i was embarrassed cause i had to pretend i liked the other girl. Sadly the other girl didnt like me i didnt care cause i only liked my female friend. A few weeks later i told my friend i liked her and she said she liked me to but i had changed personality wise and she was no longer interested in me.,5,7,7,18,male,Hispanic/Latinx,
1c,126,control,"I got into a misunderstanding with my ex girlfriend base on I forgot her birthday.It was not intentional because I was not feeling very fine and I was at work that day,then she called on that day that why on earth didn't I call her or wish her happy birthday which she was aware that I was not feeling fine and I was at work.I was like am so sorry I forgot and you know I was not fully myself then she said she want to break up with me because I did not call her since,she never ask how is my health and how I was holding up with work I was very angry with her that day.We decided to meet up and talk things over but she refuse to turn up and she called me that day saying am a  very bad person and I was like did you even care to check up on me or to know how am holding up with my health she said that's not important to her own birthday I was surprise that day.I decided to partway with her because she was only concern on her own happiness only I still can't forget this memory because I was deeply surprise why on earth she will act that way to me and decided to end a relationship that leading to a greater level in life.",7,1,6,32,male,Black or African American,
1c,127,control,"I've had a conflict with a friend of mine whose is supposedly by """"best friend"""".  This conflict lasted for over 4 years. We used to go to the same university and even were roommates once, but he was always using or exploiting my generosity. Our """"friendship"""" started when we both needed roommates for university and didn't want to pair up with complete strangers. Before that we were classmates in high school but never really talked to each other. The first year at university he started """"borrowing""""  some of my clothes. Then he started eating all my snacks in my dorm room. He would always ask me to drive him to the store and other places (even though he had his own car), and never return the favors. He was always in my dorm room, even when we weren't roommates.  For the following years at university, this cycle would continue. It felt like could never truly breathe. I would even call him out on his toxic behavior on a few occasions, but he would just either deflect, act like I was overacting, or just straight up ignore me. Unfortunately I'm still friends with this person today and the conflict was never resolved.",6,1,5,23,male,Black or African American,
1c,128,control,I got into a fight with a friend over a text message she asked me to send on her behalf. She didnâ€™t like what I typed which I sent something really sweet and nice. She decided to call me the n-word repeatedly while also trying to punch me in the face. I remember another friend of mine getting between us and I recall apologizing and thanking her for inviting me over. I then proceeded to grab my things so I could leave while my ex-friend continued to yell and lunge for me. I still do this day donâ€™t understand how something I declined to do yet ultimately ended up doing because I wanted to help a friend who begged me to help ended up turning into something so dark so quickly.,7,1,3,29,male,Black or African American,
1c,129,control,"the most recent conflict i can remember was with my close friend over my car. now because of how close we are we usually use each other's stuff, but on one particular day she used my car (knowing fully well, i was low on gas), without informing me. that pissed me off, it did, cos that day i had an emergency meeting i had to attend and when i rushed to use it i realised she was out with it. I called her for a while and she was picking until i left a voice note, and she called back telling me she's sorry and all that. i told her how inconciderate her action was and how pissed i was,and gave her a stern warning never to try it again, she kinda took offense and we stopped talking for a while. a month later she called again and apologized and said we shouldn't be keeping malice over such an issue and we decided to iron out our differences and we remained friends.",7,1,7,37,male,White,
1c,130,control,I remember when I was in highschool. My friend had issue with me. This was due to the fact that I was performing better in my assessments compare to me despite we writing same thing. He was thinking I usually go behind him to clear myself. I tried explaining myself but he kept insisting. I just let it go like that. My friend told me he didn't want to see my face ever again. That is how he kept a conflict with me. I wasn't able to defend myself cause he was overwhelmed with anger. So we separated.,4,3,5,30,male,Black or African American,
1c,131,control,"I was talking to a coworker about how I was interested in training. She thought that I was saying that I didn't like her trainings that she does. I did not mean to say it that way, but she was very upset by what I said. I stayed up all night thinking about it, and when I talked to her the next day, she was still upset. I tried to explain to her that she misinterpreted what I said, but she never said anything back. This conflict also included a coworker of mine that I sometimes help. The person I offended, thought I was saying that the person that I help, wanted me to be her trainer and not her. I still do not talk to the person that I offended, and it makes me upset because I really respect her and I don't know why she reacted that way/wouldn't listen to me when I tried to apologize.",3,5,6,23,female,White,
1c,132,control,There was a particular morning I got to work and I was to submit a work my boss gave me to him that morning. I meet my colleague who borrowed the document I was to submit to my boss and asked him to give the document to me. My colleague who is called Joe denied I gave him any document. At first I thought he was joking as he fondly does. But when I Had to show some level of seriousness I got to see that he meant to be serious too. I was really surprise to see that Joe was  telling me that I did not give him any document. I got provoked at some point and raise my voice at him. Joe also raised his voice at me too. at this point Joe already was shouting at the top of his voice. I tried to calm down to explain things to him but he was not at all giving me listening ear. I Was really furious at this point and shouted back at him too. this conflict went on continuously until our colleague entered the office and see us at that state. at this point I was ashamed already and i kept quit while Joe was still ranting,7,1,4,30,male,Black or African American,
1c,133,control,"A memorable conflict i've had was with one of my best friends from high school. We were in 11th grade at the time and we were hanging out at her lake house with a few other friends. Everyone was having a great time and then she brought up how my boyfriend cheated on me with one of our friends. She didn't realize that I had no idea that happened. I was really upset that she told me that in front of so many other people. It put a lot of strain on our friendship. I didn't talk to her for a couple weeks and things were awkward at school. This also created conflict in school because the girl my boyfriend cheated on me with went to the same high school and took some of the same classes as. Eventually my friend that told me about it and I made up, but I never made up with the """"friend"""" that cheated with my boyfriend. There was drama over that until we graduated.",6,4,2,20,female,White,
1c,134,control,"In a conversation with my sister, she made a passive aggressive comment to me. I responded by asking what she meant by that. She proceeded to backtrack and try to suggest she didn't mean anything by it. I continued to push her because I thought it was disrespectful to communicate indirectly like that and then lie about it. I became emotionally charged, and she began to shrink back. The more I tried to get clarity from her, the more she pulled away. She then walked away from the conversation. She suggested that I was breaking a boundary by pushing her to own up to what she had done. I refused to concede so she walked away. There has been no resolution since.",5,2,3,32,female,"American Indian or Alaska Native,White",
1c,135,control,I had conflict with an artistic colaborator. In previous projects he was my supervisor. When I was give a project that gave me the artistic final say it disrupted our previous dynamic. He would undermine my decision making and question my choices. His stress levels led him to react to our disagreements by snapping or yelling at me. This was extremly distressing and would lead to unproffesional interactions. I often ended up in tears. In order to stand up for myself I had to be much more aggresive than I prefer to be. This dynamic affected our non worki friendship and we stopped socializing with each other. We no longer work together,5,3,4,42,female,White,
1c,136,control,"When growing up, I had to participate in discussions opened by my father. He would start talking about a situation, stating his perspective, and wait for me to engage in the discussion. I thought he was correct in his perspective, so I agreed with him. He would then start asking me questions about further implications and ramifications. I would then start reasoning logically and he would agree with me. Later, he would then lead the discussion to swerve through tangential divagations and actually negate the initial stance he took on the matter in the beginning. Then he would accuse me of having had that particular stance in first place and proceed to analyze how wrong it was. I would remind him that he had stated that particular idea first, and he would then start to blame me of not thinking at all and of trying to avoid responsibility.",7,1,4,47,female,White,
1c,137,control,"My old best friend Sarah had an issue with her friends being friends. Last year I got close to her friend Mel because we were always on facetime together the three of us. The day before my birthday my grandma passed away and I cancelled my birthday dinner. Sarah offered to come to the funeral but because of covid it was very limited people. Instead I invited her and Mel to come over the next weekend. Sarah did not like that and choose to attend her boyfriends friends party instead of coming to see me and when I told her I was upset over that she decided to say I was choosing Mel over her. Now we are not friends, but Mel is one of my best friends.",7,1,5,26,female,Hispanic/Latinx,
1c,138,control,"I had a huge fight with my brother and father last Christmas, one I do not want to repeat. We really yelled at each other and I got mad and left the house. They both were trying very hard to provoke me on political issues while I try to stay neutral with them. They kept on trying to provoke me when I wanted to leave off. Also my father assaulted me the minute I got in after travelling six hours to see them that I had not had a COVID test when my state was one of them doing all the right things and my governor was too. So that really pissed off...there was no need to take a COVID test when I had been inside for six months and never left the house without a mask or face covering. Whereas in other states with governors from HIS political party had insisted on doing all the WRONG things as much as possible, mine had done the right things and he was there ruining Christmas for me.",6,4,3,53,female,White,
1c,139,control,"I don't have conflict with people very often, and I am not sure that this would even qualify as one, but my partner and I recently disagreed about the safest way to cross the street at crosswalk. He approaches the street without looking and crosses, assuming the cars will stop. We walk a lot, so I have seen him do this on hundreds of occasions without saying anything. Yesterday, a car nearly hit him and our dog. I asked him what the harm is in stopping to make sure he safe before crossing and he claims to look before he gets to the crosswalk. He has mentioned that he has the """"right of way"""" before, and he did during this conversation as well. Which I noted does not stop a car from hitting you. He agreed, and I asked him to stop and look when he is walking the dog at the very least, to which he agreed, and we moved on to talking about something else.",7,1,4,39,female,White,
1c,140,control,"I had a conflict with a friend that did not believe me. She had a friend that hurt me physically, and she did not believe me. I confronted her about it but she did not believe me at all.",7,1,1,22,female,Hispanic/Latinx,
1c,141,control,"The last time my husband and I argued, it was over the phone. I was frustrated with him for not asking for a raise. I had anxiety at the time, he was driving, I had to shout into the phone because it was so noisy. He thought I was calling him a kiss ass, and I wasnâ€™t but it all blew up from there. He didnâ€™t speak to me for a couple days. I never called him a name, but with the phones being in bad areas he misunderstood my frustration and my words were not coming through clearly.",3,5,2,40,female,White,
1c,142,control,"I recently had an issue with a parent of one of my volleyball players. The mother was upset about play time, but tried to cover it up and make it seem like I was mistreating her daughter. She approached me one day after practice and asked, """"Has my daughter done anything to upset me?"""" I explained that she hadn't and that question caught me off guard and that I thought her daughter to be very respectful. After that she told me varsity players had come to her and told her that her daughter was not practicing. However, she was the entire time at every practice. I then again, reassured her that her daughter does not sit out during practice. Then her mother said that I am not giving her daughter an opportunity to play the position she would like to play! However, she does not come close to my starter. Of course I didn't say it like that, but I explained that she has a lot to work on and I have given her feedback at practice, but she doesn't change anything. The mother then went on to talk poorly of my starter while chuckling and then said, """"I'm not the type of mom to demand playtime"""" I said, """"Of course not, because your daughter plays. She actually plays every game just not in (libero position) her defense there is stronger."""" I don't think she liked the answer and set up a meeting with the athletic director and called the school office and lied about my starter saying she had contact with someone who had covid. It was simply not true, however my starter had to quarantine until she got a negative result and she missed a game. Either way, the mother's daughter did not play the position the mom wanted her to play. Another girl, who had out performed her played over her for those two games and the mother was furious so I had to meet with the Athletic Director.",7,1,7,26,female,Hispanic/Latinx,
1c,143,control,"Recently, my partner and I had what I would name as are most serious conflict we have had during our time together. We had driven my younger sibling to college and were helping him move into his first apartment. This was to be a two week vacation for us. So after moving my brother into college, we were going to stay in an Airbnb for a week to explore the area and enjoy the sights. Why this was so significant is due to the fact that we have been considering relocating to that area for the past few years. This was to be our big opportunity to check out the neighborhoods, drive around the area, and acclimate a bit to the scenery. Despite us having over a year to plan and save for this trip, by day four of the two weeks he pulled me aside and told me he was entirely out of money. Not just for the trip but in general. He had spent all of our savings on the trip and barely saved anything for it otherwise. For the majority of the trip up until this point had been treating him and my sibling to lavish meals, new item for the apartment, paying for gas, etc. Yet, my partner still had no money. We were supposed to stay another week and a half and still had a nearly 10 hour drive back to our home at the end of it all. I was so confused and frustrated. Where had the thousands of dollars gone? Why did he spend all of our savings without telling me? Why did he never let me know how bad his finances were getting? I felt as if my heart had sunk into my gut.",6,2,2,23,female,White,
1c,144,control,"My sister was recently engaged on our family vacation to a man she has been dating for eight years. They own a house and a wonderful dog together. We live on opposite sides of the country and see each other three times a year max. I was very excited for my sister to be engaged and congratulated her. A few weeks ago my sister asked me to be her bridesmaid, I accepted. I didn't want to be her maid of honor because she has a close friend who lives nearby. I believe they are closer than my sister and I. My sister decided after inviting me to be her bridesmaid that she no longer wanted family in the wedding party. She did not even tell me she told our mother. The reason she gave is because she doesn't want her future brother-in-law and sister-in-law in the wedding. I was very upset. We are no longer talking, on a mutually agreed basis, and I am debating whether or not to attend.",4,3,2,28,female,White,
1c,145,control,"I had a conflict with a co-worker. The co-worker did not complete her work with her patients. She wanted me to complete it for her. I told her that I was busy doing my own work. I explained to her that I could assist her. I told her that I had to finish my work first. I helped her with a few patients. I began to get behind on my work. Some of my patients became upset. She began to feel bad. In the end, she completed the rest of the work herself.",7,2,2,29,female,Black or African American,
1c,146,control,"The most notable long term conflict I can think of at the moment is the rift between my brother and I because of how I feel about his wife.  This started long before they were married.  When she was dating him, it was apparent that she was very controlling.  Not just of him, but of her own friends and family as well.  My parents disliked her as well and did not approve of their relationship.  There was a day that my brother over heard them talking about how they didn't want him to be with someone who treated him in the way she did (and does.) I put my feelings aside that day and listened to him as a supportive sister. However, when they announced that they would be getting married I flipped.  I refused to share a last name with her let alone go to the wedding.  Again, I put on my """"big girl"""" pants and went to the wedding, I was even in the wedding despite being one week post op from knee surgery.  I get so upset with my brother when he fails to remember how I have supported him in one of the most moronic things he has ever done.  He judges me constantly for refusing to get married myself and because I don't want kids.  He thinks my tattoos are distasteful and I can't help but think of how I think his wife is distasteful. We tend not to duke it out over things with words, we grew up in a family that swallows their feelings and I don't think we know better.  It's more of a deep disapproval of the choices we think the other has made.",5,3,4,40,female,White,
1c,147,control,"Recently, in Jun 0f 2021 I had a conflict with my children's school principal. The schools job during the pandemic was to provide chrombooks and hotspots for all children for online learning. This school did so. Both of my sons at this school received a shared hotspot and two chromebooks. The hotspot had a ton of problems and we had to have it replaced 5 times throughout the school year. After allowing their IT guy to come into my home during a pandemic and check out any and all issues. Their IT guy said our house is just a 'dead-zone' and we couldn't pull enough signal to support video meets/zooms. But, we had a fine signal for schoolwork, emails, etc. The teachers worked with us, my kids did great all year. When trying to sign up for all online school for this year, 2021/2022 the principal called me and said she was going to refuse our application because my children didn't do any video classes last year, even though they made principals list, straight As, etc. I let her know that it was not he decision m=to make, the schoolboard is allowing any parents to go to all online school this year and my children would not be in building because I have no faith or trust that the adults, parents and school would do the right thing as far as the pandemic goes. After a long fight, my children were signed up. I did however decide to pull them and homeschool them on my own, without the local online school everyone else is doing. This was about a 2 week fight. It was ugly. This woman called me names, insulted my intelligence, income bracket, life choices and my concern of covid and the science not being followed by the school. It was bad.",7,2,1,41,female,White,
1c,148,control,Conflict with my son's wife.  She is controlling and manipulative with the manner that she interacts with me and my son.  It has become abusive and I am no longer allowed to talk to my son or see my grandchildren. I have tried to seek remedy through the court system to no avail..,6,2,1,50,female,White,
1c,149,control,My mother took my brother off of live sustaining support measures without the consent or knowledge of my sister or myself. She knew we did not agree to this at that stage and lied to us and the rest of the family about the condition he was in. I didn't find this out until he died several weeks later which came as a major shock. I am still dealing with PTSD symptoms as a result of her actions. I have not spoken with my mother in over 4 and a half years now.,7,1,2,31,female,White,
1c,150,control,I had a conflict with a customer when I was working at a a job. The customer wanting to use the handicap fitting room even though she wasn't handicap. A manager had to come and explain to her why she couldn't used the fitting room.,7,1,1,34,female,Black or African American,
1c,151,control,I had a conflict with a customer when I was working at a job. The customer wanting to use the handicap in the fitting room even though she wasn't handicap. A manager had to help me resolved the issue.,7,1,1,34,female,Black or African American,
1c,152,control,"I can't think of an actual conflict that ever had I try to stay away of that all the time.  I had disagreement with my family but never something big, other members of my family had many conflicts but I'm never part of them.  Recently I met someone at work that just makes me want to quit my job because of the horrible attuited she has.  I try my best to be kind and do my job to the best of my abilities but she always has something negative to say.  I ignored it because I don't want problems but I know if I say something there's going to be conflict and I don't want that.",5,3,2,18,female,Hispanic/Latinx,
1c,153,control,It was between my husband and I before we got married. I wasn't over my ex at the time. I was still messaging him and my husband found out. We got into a huge argument. He told me to get out of the house and he wanted nothing to do with me anymore. We ended up talking it over and worked everything out but it was an intense night.,1,7,6,20,female,White,
1c,154,control,"I had a friend who was extremely invalidating to me. She often would talk about herself and her own issues, but would shut me down if I ever tried to talk about something related to my life. It got to the point where any time I brought up something that she didn't like, or an issue in our friendship, I would be ignored. She was a part of my friend group and very well liked, so when I finally told her that the friendship was toxic and I no longer wished to continue it, her response was to doctor screenshots and send them out to our friendgroup as a result. With many of those friends, I was able to resolve the issues they had, but a few others actually left me over the incident. What I find interesting is that it turns out that for a while she and another friend had been just going out of their way to talk shit about me behind my back. It got to the point where so many lies were spread about me that I just had to cut off about half of the friend group as a result. Its unfortunate, but that's what I needed to do in order to ensure that I'd come out of it okay. I still, to this day, get screenshots from people of her posting nasty statuses and subtweets about me. Its been a month now, and they're still going. Fortunately, I've been able to set the boundary that I want no discussion about her, so she's pretty much entirely out of my life now.",5,3,1,23,,"American Indian or Alaska Native,White",
1c,155,control,"The conflict that I remember was with my ex boyfriend. He was very insecure about me going out without him. He was a year younger than me and it was going to be my 21st birthday soon. My mom and grandmother asked me if I had any plans for celebrating. He was there in the room with us and I mentioned that I wanted to go to a club in D.C. with some friends. He immediately got very upset with me and told me it wasn't okay for me to go out for my 21st birthday without him, since he was younger he couldn't get in. We fought for hours and a few weeks later broke up.",6,2,1,23,female,White,
1c,156,control,"When my grandma, my aunt, my cousin, and I went to a family arcade place, I got into a fight with my aunt. My aunt had been rude to my grandma all day for no reason. She has some issues. We were in line and I finally just went off on my aunt in front of everybody. I was so angry. I had to stand for my grandma. My grandma was being nice to my aunt the whole time despite all her rude comments. My aunt yelled at me back, but finally apologized.",7,2,2,21,non-binary,White,
1c,157,control,"When I moved into college for my sophomore year, I was living in a quad. I knew one of my roommates from the previous year, but the other two were strangers. One of the new girls (I'll call her Ellie) had a girlfriend (I'll call her Molly). Ellie and Molly had been dating for a while and were now going to college together. So they spent a lot of time together. Which for Ellie's roommates, us, meant that Molly came over to the dorm a lot. My dorm was pretty big, with a living room and kitchen. Molly crashed on our couch on weekends, she came over during the days during the week. Sometimes I would come home during the day and she would just be sitting on the couch, even when Ellie wasn't there. She started acting like our dorm was her dorm, despite that she had a dorm of her own, which the two of them never spent time in. We brought it up, albeit gently to avoid outright conflict, but Ellie was adamant that because it was her space, it was her girlfriend's space as well. It wasn't just me that felt like Molly was taking up too much of our space, my other roommate agreed as well.",6,3,3,19,female,White,
1c,158,control,I had told a friend about an experience I had. She was shocked because it was out of character for me. She listened and provided her input. Her input kind of shamed me for my decision. I felt hurt and when I communicated that she made it about her. I tried to explain it again and she understood. She apologized and we are doing fine now. It hurt me for a bit after but Im okay,7,2,4,19,female,Prefer not to say,
1c,159,control,"My boyfriend and I sometimes disagree because I am more nit-picky and he is a bit careless about how things are done. We recently had an argument that had to do with this. I noticed that my wooden desk had his name carved into it, however at first I assumed it wasn't him because it is a pretty common name and my desk is very old. Later, when I asked him, he told me he was the one who carved his name and he was very nonchalant about it. I got extremely upset with him because this desk had belonged to my grandmother. We do not live together; in fact, he was staying at my mom's house with me, which is where the desk is. I could not understand how somebody could even think to do something like that. Essentially, in my opinion he vandalized my property out of boredom and carelessness. He is a minimalist and I have a LOT of things, and I know that he does not like that I have as many items as I do. I felt that his actions showed blatant disrespect of my belongings. After I told him how I felt, he felt terrible. I think I handled my anger very maturely and told him I would talk to him in a few hours. He was very regretful and we eventually (a few days later) talked about it in person and were open and honest. We have since resolved the problem.",7,2,5,24,female,White,
1c,160,control,"Once my best friend and I got into a conflict because I thought her ex boyfriend was cute. She did not think it was okay for me to go for this boy because it was her ex. She had only dated him for 2 weeks and she broke up with him and things ended completely cool. I was very confused as to why it was such a big deal. Apparently the """"girl code"""" is a thing and you aren't supposed to date a friends ex. I hardly considered him an ex of hers because they saw each other once and there was no connection. We argued for an entire night and it looked like our friendship was going to end but it did not. In the end I did not end up trying to date this boy because I realized losing my best friend over a boy would be really sad even if I thought she was overreacting about the entire situation.",5,3,5,18,female,White,
1c,161,control,"May 2nd, 2015; friend came over. Friend and I played video games. I kept winning. She kept play hitting me. I blacked out. Busted controller over her head. Controller broke. She cried and went home. Never talked again. Picked up pieces from her glasses and went to sleep.",6,1,2,21,female,White,
1c,162,control,"The memorable conflict I am about to write about has not been resolved. It happened years ago while i was in high school, I had a crush on a guy in my neighborhood which my friends knew about, but I do deny it. The only person i confessed to was my best friend, she never told me she also has a crush on the same guy. I got to know and it was an heated argument. I felt betrayed.",7,1,,31,female,Black or African American,
1c,163,control,"I was working in an office called Human Capital.  I loved my job.  The director was an attorney.  Her husband lost his job and she had to return to private practice. A lower level manage got promoted and asked me to leave my job and go work for him for the same pay (in government).  I declined.  I went on vacation, was called at home by a Governor's appointee and told that when I returned from vacation, I would have the job I declined.",6,2,1,48,female,White,
1c,164,control,"During my freshman year of undergrad, I was assigned a random roommate in the on-campus dorms. I thought she was cool and just quiet at first, but I started to notice odd things. She would be up in the very early morning hours and I would smell marijuana, as if she had opened a bag of it in the bathroom or something. I also started to notice that the drawer that I kept my snacks in would be a crack open after I returned from class some days. She also had her boyfriend sleep over in our room some nights and while it wasn't that big of a deal, she never asked me if it was okay before she did it. We had made a roommate agreement at the beginning of the semester that detailed how we would ask each other permission for guests, who would clean what, etc. She never really followed what we agreed upon, though. I finally went to our resident assistant about my concerns and he made us have a meeting altogether. At this meeting, she agreed to follow our roommate agreement and stop doing what she was doing. While she never actually stopped, I was too shy and unconfrontational to bring it up to our RA again. Thankfully, she moved out of the dorm at the end of the semester so I didn't have to deal with that conflict the next semester as well.",6,2,1,22,female,White,
1c,165,control,"I was lead Project Manager, building a new team to create a PMO for a client. I review resumes, interviewed, and suggested a particular new hire. It took only a month before her aggressive and competitive personality created conflict. One day I asked her to set up a room for a meeting that was to occur immediately after lunch. When I returned from my break, I found that she had not done it. I didn't say anything, I simply went and completed the task in plenty of time for the meeting to happen with no delays. I said nothing more to her. But in the staff meeting 2 days later she attacked me viciously. She announced to the entire room that I was a problem to work with. She talked about how everyone agreed with her assessment of me. She went on and on about my various failings. I was in shock and finally walked out. Our supervisor was a weak man and easily intimidated by her forcefulness. His solution was that we get together and discuss how I might change my ways to make her more comfortable. I refused and demanded an apology for her incredibly bad behavior. And I found a new job. And eventually 3 of my co-workers who were unable to stand the environment now that she was essentially in charge also found new jobs.",7,1,1,56,female,White,
1c,166,control,"I had conflict with one person who had shortly stopped speaking to my friends and i because they put all of their energies into a new relationship, and two platonic relationships. This person had slowly stopped talking to all of us, leaving us on read, and often when they did speak to us it was because something had gone wrong or they wanted to talk to someone about the """"amazing things"""" happening. I was personally used quite a bit as an excuse to get out of things, and painted me to be a clingy person that they """"just HAD to tend to"""". I disliked being painted in such a way as we had often never talked & there was nothing I needed them for. When I met these people they were apprehensive of me because they had already been painted a picture that was completely different than how I actually was. I ended up calling them out in front of this group on their actions and there was a brief back and forth before they apologized.",6,2,3,18,female,"Black or African American,White",
1c,167,control,"A memorable conflict would have been the time when I was pregnant with my second child. It was nearing my first child's birthday, and my doctor said my due date was going to be the exact same day that my first child was born. I wasn't going to let that happen. That's crazy! So, we decided that I'd try to wait as long as possible to have my second child. We waited until after my first child's birthday. The next business day, we called our doctor. We decided that we would go in five days after my first child's birthday. I ended up having my daughter five days after my son turned one. They are best friends and they are so close. Not just in age, but in their relationship with each other. They are the best of friends.",7,4,2,30,female,White,
1c,168,control,"I had a conflict with a coworker over intellectual property and authorship on a scientific research study. The other individual was a graduate student whom I had previously trained in a number of specialized techniques that were necessary for completion of the study. The study was a project that had been developed based on work that I had previously completed and published as a postdoc, prior to this student joining the lab. The student had reached a point in the project where he no longer needed my help and wanted to be more independent. As a result he sought to diminish my role in the follow-up work. I felt my contribution to the project and the previous work, on which this project was based, were not being sufficiently acknowledged. The conflict over my authorship and role in his paper led to an acrimonious interpersonal interaction and contributed to a toxic work environment. As a result of the conflict, I felt less motivated to contribute to the publication process. We failed to resolve the conflict to my satisfaction, and over time, I became increasingly unhappy in my place of work.",5,3,1,39,female,White,
1c,169,control,"The most memorable conflict I have had has been with my father. He if often harsh with my brother, and I always need to talk him down form his anger and general personality. My brother was in middle school at this time, and my dad was inspecting the microwave for finger prints. My dad is very particular about things, so it is easy for him to notice when things are out of place. He noticed dirt on the microwave, and as usual, immediately blamed my brother. I came to my brother's defense to tell him that my brother had not used the microwave recently, and he did not listen. When my mother admitted to using the microwave last, my dad had accepted her apology. I noticed he hadn't apologized to my brother for jumping to conclusions. I pointed this out, and said that he owed my brother an apology. My dad immediately became defensive and laughed at me for suggesting what I had said. My brother became visibly upset.",6,1,5,20,female,Asian,
